Competition,Date,Competition,Sport,Event,Stroke,Gender,Rank,Medal,Name,Nation,DoB,Country,Age (days),Time,PhaseName,Distance,Speed,Olympic Year,Olympic Cycle,Pred Formula Speed,Cond Pred Formula Speed,Residuals,Residuals Conditional
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,2,S,Daria S Ustinova,RUS,8/5/1998,Russia,16-063,55.3,,100,1.808318264,2016,2,1.697019985,1.783519777,0.111298279,0.024798487
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,3,B,Rachele Ceracchi,ITA,,Italy,,56.12,,100,1.781895937,2016,2,1.697019985,1.754274421,0.084875953,0.027621516
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,4,,Barbora Misendova,SVK,12/2/1998,Slovakia,16-148,56.51,,100,1.769598301,2016,2,1.697019985,1.743845581,0.072578317,0.02575272
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,5,,Mari Davies,GBR,27/03/1998,Great Britain,16-105,56.68,,100,1.764290755,2016,2,1.697019985,1.741405959,0.06727077,0.022884796
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,6,,Vasiliki-Stayroula Baka,GRE,,Greece,,57.06,,100,1.752541185,2016,2,1.697019985,1.751453998,0.0555212,0.001087187
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,7,,Flora Molnar,HUN,,Hungary,,57.08,,100,1.75192712,2016,2,1.697019985,1.750852141,0.054907135,0.001074978
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,8,,Oryna Yakuba,UKR,,Ukraine,,57.41,,100,1.741856819,2016,2,1.697019985,1.708020665,0.044836835,0.033836154
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,9,,Leonie Kullmann,GER,,Germany,,57.24,,100,1.747030049,2016,2,1.697019985,1.746052282,0.050010064,0.000977767
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,10,,Georgina Boyle,GBR,,Great Britain,,57.32,,100,1.744591766,2016,2,1.697019985,1.743662304,0.047571781,0.000929461
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,11,,Kim Busch,NED,16/06/1998,Netherlands,16-024,57.53,,100,1.738223536,2016,2,1.697019985,1.737419933,0.041203551,0.000803602
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,12,,Alessia Ruggi,ITA,11/1/1999,Italy,15-180,57.7,,100,1.733102253,2016,2,1.697019985,1.732399546,0.036082268,0.000702707
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,13,,Ema Sarar,CRO,,Croatia,,57.74,,100,1.731901628,2016,2,1.697019985,1.708591917,0.034881643,0.023309711
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,14,,Katrin Gottwald,GER,23/01/1999,Germany,15-168,57.81,,100,1.729804532,2016,2,1.697019985,1.729166642,0.032784547,0.00063789
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,15,,Manon Viguier,FRA,,France,,58.06,,100,1.722356183,2016,2,1.697019985,1.716699705,0.025336199,0.005656478
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,16,,Margaryta Smirnova,UKR,,Ukraine,,58.37,,100,1.71320884,2016,2,1.697019985,1.687466567,0.016188856,0.025742273
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,17,,Daria Mullakaeva,RUS,,Russia,,56.46,,100,1.771165427,2016,2,1.697019985,1.757280663,0.074145442,0.013884764
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,18,,Maria Kudelkina,RUS,,Russia,,56.9,,100,1.757469244,2016,2,1.697019985,1.756283937,0.06044926,0.001185307
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,19,,Nele Klein,GER,,Germany,,57.67,,100,1.734003815,2016,2,1.697019985,1.737928998,0.03698383,-0.003925183
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,20,,Hannah Featherstone,GBR,,Great Britain,,57.9,,100,1.727115717,2016,2,1.697019985,1.726530589,0.030095732,0.000585128
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,21,,Magdalena Cygan,GBR,,Great Britain,,57.93,,100,1.726221302,2016,2,1.697019985,1.725653707,0.029201317,0.000567595
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,22,,Sandra Pallares Gomez,ESP,,Spain,,58.05,,100,1.722652885,2016,2,1.697019985,1.722155155,0.025632901,0.000497731
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,23,,Elisa Sanchez Morales,ESP,,Spain,,58.21,,100,1.717917884,2016,2,1.697019985,1.717512642,0.020897899,0.000405242
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,24,,Jana Zinnecker,GER,,Germany,,58.27,,100,1.716148962,2016,2,1.697019985,1.715778209,0.019128977,0.000370753
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,25,,Sofia Iurasek,ITA,,Italy,,58.36,,100,1.713502399,2016,2,1.697019985,1.713183182,0.016482414,0.000319217
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,26,,Lena Opatril,AUT,,Austria,,58.38,,100,1.712915382,2016,2,1.697019985,1.712607586,0.015895397,0.000307796
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,27,,Conni Rott,AUT,,Austria,,58.44,,100,1.711156742,2016,2,1.697019985,1.710883137,0.014136757,0.000273605
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,28,,Roosa Moert,FIN,,Finland,,58.54,,100,1.708233686,2016,2,1.697019985,1.708016837,0.011213702,0.00021685
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,29,,Frederique Janssen,NED,,Netherlands,,58.57,,100,1.707358716,2016,2,1.697019985,1.707158837,0.010338731,0.000199879
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,30,,Pien Schravesande,NED,,Netherlands,,58.63,,100,1.705611462,2016,2,1.697019985,1.705445445,0.008591477,0.000166016
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,31,,Kertu Alnek,EST,,Estonia,,58.66,,100,1.704739175,2016,2,1.697019985,1.704590051,0.00771919,0.000149123
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,32,,Marte Lovberg,NOR,,Norway,,58.67,,100,1.704448611,2016,2,1.697019985,1.702946837,0.007428626,0.001501773
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,33,,Carmen San Nicolas Martinez,ESP,,Spain,,58.79,,100,1.700969553,2016,2,1.697019985,1.700893336,0.003949568,7.62171E-05
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,34,,Matilda Weiler,SWE,,Sweden,,58.85,,100,1.699235344,2016,2,1.697019985,1.699192614,0.002215359,4.27297E-05
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,35,,Julia Kukla,AUT,,Austria,,58.93,,100,1.696928559,2016,2,1.697019985,1.700128989,-9.14253E-05,-0.00320043
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,36,,Eveliina Pihkamaki,FIN,,Finland,,59.02,,100,1.694340901,2016,2,1.697019985,1.689695688,-0.002679083,0.004645213
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,37,,Stepanka Silhanova,CZE,,Czech Republic,,59.03,,100,1.694053871,2016,2,1.697019985,1.678514085,-0.002966114,0.015539785
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,38,,Natalia Fryckowska,POL,,Poland,,59.04,,100,1.693766938,2016,2,1.697019985,1.693829583,-0.003253047,-6.26455E-05
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,39,,Paulina Peda,POL,,Poland,,59.11,,100,1.691761123,2016,2,1.697019985,1.691862337,-0.005258861,-0.000101214
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,40,,Lucia Simovicova,SVK,,Slovakia,,59.17,,100,1.690045631,2016,2,1.697019985,1.690179795,-0.006974353,-0.000134164
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,41,,"Eveliina Kallio""",FIN,,Finland,,59.61,,100,1.677570877,2016,2,1.697019985,1.677943656,-0.019449107,-0.000372778
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,42,,Diana Jaruseviciute,LTU,,Lithuania,,59.68,,100,1.675603217,2016,2,1.697019985,1.676013473,-0.021416767,-0.000410255
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,43,,Margaryta Tyat'Kova,UKR,,Ukraine,,59.98,,100,1.667222407,2016,2,1.697019985,1.667791799,-0.029797577,-0.000569391
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,44,,Hedda Oeritsland,NOR,,Norway,,60.55,,100,1.651527663,2016,2,1.697019985,1.669952138,-0.045492322,-0.018424475
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,45,,Victoria Eysturdal,FRO,,Faroe Islands,,61.31,,100,1.631055293,2016,2,1.697019985,1.623450226,-0.065964692,0.007605067
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,1,G,Pernille Blume,DEN,14/05/1994,Denmark,20-032,54.04,,100,1.850481125,2016,2,1.697019985,1.807739632,0.15346114,0.042741493
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,2,S,Francesca Halsall,ENG,12/4/1990,Great Britain,24-064,54.34,,100,1.840264998,2016,2,1.697019985,1.854877932,0.143245014,-0.014612933
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,3,B,Veronika Popova,RUS,20/01/1991,Russia,23-146,54.75,,100,1.826484018,2016,2,1.697019985,1.832916557,0.129464034,-0.006432539
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,4,,Karin Prinsloo,RSA,2/12/1989,South Africa,24-195,54.91,,100,1.821161901,2016,2,1.697019985,1.805165564,0.124141917,0.015996338
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,5,,Amy Smith,ENG,24/07/1987,Great Britain,26-326,55.23,,100,1.810610176,2016,2,1.697019985,1.815829409,0.113590191,-0.005219233
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,6,,Natalie Coughlin,USA,23/08/1982,United States,31-296,55.26,,100,1.809627217,2016,2,1.697019985,1.864296364,0.112607232,-0.054669148
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,7,,Margarita Nesterova,RUS,20/09/1989,Russia,24-268,55.91,,100,1.788588803,2016,2,1.697019985,1.786148446,0.091568819,0.002440358
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,8,,Jessica Lloyd,GBR,14/03/1995,Great Britain,19-093,56.04,,100,1.784439686,2016,2,1.697019985,1.775789156,0.087419701,0.00865053
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,9,,Daria S Ustinova,RUS,8/5/1998,Russia,16-038,55.97,,100,1.786671431,2016,2,1.697019985,1.783519777,0.089651446,0.003151654
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,10,,Maria Baklakova,RUS,14/03/1997,Russia,17-093,55.98,,100,1.786352269,2016,2,1.697019985,1.790818594,0.089332284,-0.004466325
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,11,,Cecilie Johannessen,NOR,16/01/1990,Norway,24-150,56.11,,100,1.782213509,2016,2,1.697019985,1.773712518,0.085193525,0.008500991
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,12,,Darya Stepanyuk,UKR,22/05/1990,Ukraine,24-024,56.2,,100,1.779359431,2016,2,1.697019985,1.799298869,0.082339446,-0.019939438
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,13,,Hanna-Maria Seppälä,FIN,13/12/1984,Finland,29-184,56.28,,100,1.776830135,2016,2,1.697019985,1.824877394,0.07981015,-0.048047259
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,14,,Rebecca Turner,ENG,1/8/1992,Great Britain,21-318,56.45,,100,1.771479185,2016,2,1.697019985,1.774475934,0.0744592,-0.002996749
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,15,,Trudi Maree,RSA,9/8/1988,South Africa,25-310,56.6,,100,1.766784452,2016,2,1.697019985,1.754685512,0.069764468,0.01209894
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,15,,Fatima Gallardo Carapeto,ESP,,Spain,,56.6,,100,1.766784452,2016,2,1.697019985,1.770990245,0.069764468,-0.004205792
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,17,,Siobhan-Marie O'Connor,GBR,29/11/1995,Great Britain,18-198,55.69,,100,1.795654516,2016,2,1.697019985,1.80578037,0.098634531,-0.010125854
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,18,,Patricia Castro,ESP,6/8/1992,Spain,21-313,56.94,,100,1.756234633,2016,2,1.697019985,1.771452079,0.059214648,-0.015217446
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,18,,Julie Levisen,DEN,16/01/1997,Denmark,17-150,56.94,,100,1.756234633,2016,2,1.697019985,1.745337689,0.059214648,0.010896944
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,20,,Caitlin McClatchey,SCO,28/11/1985,Great Britain,28-199,56.99,,100,1.754693806,2016,2,1.697019985,1.770662198,0.057673821,-0.015968392
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,21,,Mie Nielsen,DEN,25/09/1996,Denmark,17-263,57.04,,100,1.75315568,2016,2,1.697019985,1.768039453,0.056135696,-0.014883773
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,22,,Sasha Touretsky,FRA,,France,,57.09,,100,1.751620249,2016,2,1.697019985,1.75055137,0.054600264,0.001068879
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,23,,Susann Bjornsen,NOR,28/05/1993,Norway,21-018,57.12,,100,1.75070028,2016,2,1.697019985,1.7494507,0.053680295,0.00124958
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,24,,Erin Gallagher,RSA,18/12/1998,South Africa,15-179,57.23,,100,1.747335314,2016,2,1.697019985,1.75675068,0.050315329,-0.009415366
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,25,,Rozaliya Nasretdinova,RUS,10/2/1997,Russia,17-125,57.24,,100,1.747030049,2016,2,1.697019985,1.752964047,0.050010064,-0.005933998
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,26,,Hannah McCarthy,GBR,12/9/1993,Great Britain,20-276,57.38,,100,1.742767515,2016,2,1.697019985,1.746026261,0.04574753,-0.003258746
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,27,,Marlies Ross,RSA,26/08/1997,South Africa,16-293,57.42,,100,1.741553466,2016,2,1.697019985,1.737182223,0.044533481,0.004371243
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,28,,Arianne Mainville,CAN,,Canada,,57.44,,100,1.740947075,2016,2,1.697019985,1.744126235,0.043927091,-0.00317916
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,29,,Amelia Benedicte Maughan,GBR,16/05/1996,Great Britain,18-030,57.55,,100,1.737619461,2016,2,1.697019985,1.752126669,0.040599477,-0.014507208
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,30,,Jessica Cavalheiro,BRA,1/8/1991,Brazil,22-318,57.63,,100,1.735207357,2016,2,1.697019985,1.739226209,0.038187373,-0.004018851
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,31,,Jolien Sysmans,BEL,1/9/1992,Belgium,21-287,57.71,,100,1.732801941,2016,2,1.697019985,1.767311686,0.035781956,-0.034509745
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,32,,Judit Ignacio,ESP,18/03/1994,Spain,20-089,57.77,,100,1.73100225,2016,2,1.697019985,1.697170074,0.033982266,0.033832176
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,33,,Daria Mullakaeva,RUS,,Russia,,57.8,,100,1.730103806,2016,2,1.697019985,1.757280663,0.033083822,-0.027176857
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,34,,Camilla Hattersley,SCO,24/02/1995,Great Britain,19-111,57.84,,100,1.728907331,2016,2,1.697019985,1.728287055,0.031887346,0.000620276
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,35,,Lidon Munoz,ESP,3/12/1995,Spain,18-194,57.89,,100,1.727414061,2016,2,1.697019985,1.710651308,0.030394077,0.016762753
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,36,,Anna Egorova,RUS,,Russia,,57.95,,100,1.725625539,2016,2,1.697019985,1.727264483,0.028605555,-0.001638943
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,37,,Hannah Miley,SCO,8/8/1989,Great Britain,24-311,58.04,,100,1.72294969,2016,2,1.697019985,1.722446154,0.025929705,0.000503536
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,38,,Elise Naes Olsen,NOR,8/9/1997,Norway,16-280,58.09,,100,1.72146669,2016,2,1.697019985,1.688620135,0.024446705,0.032846554
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,39,,Sian Morgan,WAL,5/12/1994,Great Britain,19-192,58.11,,100,1.720874204,2016,2,1.697019985,1.723578038,0.023854219,-0.002703834
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,40,,Melanie Costa,ESP,24/04/1989,Spain,25-052,58.28,,100,1.715854496,2016,2,1.697019985,1.752527441,0.018834511,-0.036672945
GP,15/06/2014,Barcelona,Swimming,100m,FRS,F,41,,Marte Lovberg,NOR,,Norway,,58.31,,100,1.714971703,2016,2,1.697019985,1.702946837,0.017951718,0.012024866
