tripduration,startstationid,endstationid,bikeid
741,291,376,20273
329,476,519,16135
545,492,456,15762
265,257,329,19007
367,507,444,15220
438,498,517,19962
820,340,264,18266
11723,503,376,19374
991,325,305,18946
745,251,426,20305
757,385,484,17310
677,173,334,19313
1815,342,173,17720
916,368,524,18661
488,533,168,19509
1285,363,161,16140
1076,420,361,16064
611,519,450,17225
311,476,459,20016
948,294,318,15328
164,264,195,15034
983,157,309,18602
1679,382,520,16807
518,432,303,17735
534,456,225,17063
868,79,173,15211
266,540,486,17938
2214,314,367,16355
1826,422,195,17177
532,153,173,15940
980,513,474,17823
659,545,519,16489
956,536,510,18588
347,128,347,17748
322,364,343,16006
785,379,533,20520
450,521,459,19239
813,379,174,17964
196,391,143,14935
587,516,173,16197
319,315,304,19641
957,298,358,16238
1551,465,538,19598
361,511,236,20587
960,116,500,18423
365,266,459,18728
1400,327,79,14831
349,363,327,15808
287,515,480,15443
1543,318,195,19118
828,332,417,19740
260,306,417,16453
686,490,523,18270
636,537,464,19656
580,259,2005,19802
446,389,539,18741
380,461,483,14934
845,505,367,18681
315,417,329,15198
434,454,510,15725
408,417,360,18657
425,2021,489,14965
1824,521,363,18242
960,173,457,17091
966,173,457,19794
1120,127,427,16768
389,2023,492,17393
2198,490,534,15370
6195,325,474,15706
307,293,445,16105
347,509,223,15621
480,433,497,15913
433,363,329,18730
333,251,263,14555
590,354,396,18751
464,505,510,15255
2208,270,266,20125
595,515,450,17983
729,492,173,16159
1007,518,500,17813
364,368,303,18745
222,521,489,17856
571,271,343,16352
319,271,323,15941
692,490,456,15494
613,490,352,15123
747,445,228,15649
261,229,285,16964
1136,481,470,15543
861,476,493,16584
797,490,174,16509
1000,146,496,14819
618,477,527,19553
578,294,294,16641
346,168,450,15868
599,329,415,15435
653,116,472,15741
910,127,465,17655
439,448,521,14830
215,312,439,18772
1001,312,522,14798
186,238,127,19090
218,468,152,18408
454,545,402,17866
1047,482,426,19308
516,223,462,18580
472,326,375,16754
672,479,305,20516
773,492,174,17750
1046,482,426,15770
274,375,348,20590
566,533,536,20575
331,509,546,15309
1001,311,263,19170
243,318,72,19993
315,334,503,15121
555,480,484,18368
563,127,377,17348
202,521,442,20341
331,458,520,16759
535,442,484,19753
432,457,496,18908
73,173,173,19351
521,362,536,18120
600,350,128,16505
1773,72,363,18850
1616,490,376,16932
542,339,350,20586
420,528,521,18538
378,327,329,17562
95,545,2003,17067
1068,521,290,14571
437,479,243,16151
280,505,484,17274
279,147,329,17436
354,173,465,15940
502,495,510,16960
886,462,2008,16089
545,303,309,20616
801,482,536,15462
736,345,303,19243
488,295,417,16246
814,521,368,15208
333,432,496,20565
353,376,434,15413
936,492,433,17393
1156,434,534,17102
546,540,519,16418
1159,422,426,17636
376,340,316,16673
249,519,485,16734
388,482,442,19608
143,262,416,17215
380,369,347,14954
600,483,446,14934
557,446,153,19707
468,485,518,14858
178,320,329,19261
179,79,329,18376
308,480,173,14871
520,503,79,18154
236,519,496,17886
334,486,396,17938
376,483,323,19671
262,492,309,18497
632,328,238,16799
321,444,545,15951
503,488,173,20306
862,160,352,16451
126,509,453,15562
975,509,477,16385
163,228,367,18961
418,448,533,20545
1371,467,309,15995
671,250,334,18196
378,479,484,18877
846,393,492,16230
297,236,375,20587
440,479,359,15628
670,128,376,15480
319,493,359,20231
222,423,173,16214
332,512,212,18348
1919,519,386,17295
740,521,352,14830
866,332,545,18327
387,479,468,18078
475,490,517,19480
400,444,475,16067
1567,426,195,18696
574,355,309,20168
522,521,173,16732
422,290,164,17489
461,521,463,20008
289,488,329,18964
701,492,167,14905
354,303,363,17972
912,540,303,15943
322,280,402,19328
1206,318,439,19579
554,379,475,15406
265,2006,468,15915
934,152,391,16760
445,501,472,15308
580,501,359,19046
806,511,291,19483
191,304,337,17679
679,263,475,16394
643,361,545,16064
642,501,484,20370
348,488,368,17708
609,501,464,16874
396,445,285,17718
846,128,465,19626
906,379,456,18615
1496,466,2008,19523
308,379,474,19724
668,465,456,15940
161,368,324,15015
693,368,327,20607
487,480,514,16798
357,532,475,18392
194,521,489,17692
566,505,318,15612
410,238,328,15219
1709,363,466,14974
241,459,444,20016
684,476,493,17005
658,501,318,18235
206,320,329,15436
711,488,480,19712
558,519,461,15134
277,363,427,18662
943,464,485,16931
683,296,259,20511
412,318,510,15805
473,479,485,15361
296,264,319,15173
1216,462,327,18580
923,376,358,20064
110,241,300,19657
859,439,309,18772
380,524,359,18661
590,367,477,19460
349,517,498,19211
416,479,493,19279
729,490,480,17045
697,385,498,15018
853,385,493,19748
428,167,524,19774
304,449,520,16840
1134,318,329,20611
506,527,492,20243
403,476,359,16152
464,519,523,16135
1205,433,305,18413
1333,363,72,18177
820,251,327,17621
1747,390,363,18104
240,454,522,14946
434,393,363,19114
211,146,387,19512
764,482,465,20582
1303,303,267,17735
732,442,468,19880
224,401,335,20569
728,513,359,15968
738,383,458,20602
396,505,493,19399
566,313,430,18881
887,490,538,16121
202,128,347,16113
400,164,173,17489
1708,408,440,15070
1305,442,327,15106
667,332,473,15180
825,446,359,18451
303,521,489,18467
768,513,318,19470
1609,453,290,15385
611,444,335,15870
1822,457,386,17191
610,405,521,17029
398,466,489,19333
305,518,359,15053
302,405,492,18810
706,465,497,17655
621,472,173,15308
1099,511,538,17602
645,161,426,18811
637,404,2012,15565
872,470,456,15543
1720,507,427,18839
416,490,515,17047
501,493,352,19772
689,422,515,14936
472,492,493,16654
422,469,359,17022
429,379,528,16177
1766,495,329,15165
1283,521,376,16077
917,514,329,15237
291,323,323,17536
2421,259,537,19939
387,293,497,15952
503,348,330,17157
794,79,152,14831
608,495,137,18361
859,394,168,19499
211,243,485,16151
212,258,300,19468
605,380,519,18678
440,505,519,18482
861,462,329,15232
237,160,519,14889
1089,164,293,18849
1211,490,2003,20373
626,251,351,16523
777,490,458,14982
211,457,468,15041
502,482,456,14799
415,318,510,18648
420,477,297,15319
604,490,484,17113
776,453,323,15562
481,293,469,16108
701,327,337,17545
701,511,164,20579
401,326,345,14948
243,464,164,19216
846,319,315,19727
685,496,173,15766
176,497,236,18144
354,513,173,16970
749,368,512,15208
548,247,438,16532
421,318,173,15612
2020,432,173,17501
443,504,507,19357
859,515,444,17949
548,519,444,16418
840,164,379,15062
564,517,477,19124
1106,504,347,19770
364,290,440,17593
419,521,404,15539
3856,484,484,19654
1781,519,259,20280
1987,363,359,16973
288,329,327,18376
386,441,484,19271
507,518,2006,14858
608,499,538,20513
992,228,358,15649
1423,490,426,16502
848,488,347,15885
355,527,545,15836
209,524,510,15396
287,327,329,19265
1696,490,327,15832
1156,312,492,19492
902,492,359,16611
1123,480,517,18147
1567,512,522,16334
381,519,486,15032
902,446,359,15527
1193,144,265,17514
374,325,167,18179
106,168,435,19509
717,445,497,20220
1298,433,524,19236
466,498,167,20297
1486,341,484,19988
276,330,264,14990
329,253,486,15302
746,519,325,15984
4099,394,444,19473
793,490,359,14827
569,305,469,20516
6115,465,492,19626
215,391,233,16184
732,356,347,20568
282,330,276,17524
1450,238,376,15648
289,454,367,19302
402,417,534,18722
151,315,260,18842
1345,480,376,17062
388,479,318,19034
337,259,264,17385
325,160,519,18509
763,490,493,17658
82,401,401,19592
1654,350,164,15119
206,493,520,16084
855,515,469,16041
1483,2002,293,16270
915,492,305,20243
832,533,537,20545
863,523,294,16135
2037,490,427,15091
265,319,329,18300
1537,2002,410,18474
585,366,274,16808
1112,539,293,18883
1364,116,522,14624
2689,251,251,17683
389,328,327,15219
2341,388,306,17213
327,228,305,18008
268,327,147,20379
359,473,348,15993
398,474,497,16013
756,490,160,15988
553,459,380,20137
1537,406,388,19256
346,486,173,16309
1389,326,312,16508
456,173,352,19073
520,174,519,15324
609,524,464,19774
1083,514,426,16798
677,379,440,17236
1715,408,79,14928
1489,497,379,18295
682,258,430,20563
1203,515,305,17047
1492,312,153,15092
389,482,335,18804
363,146,347,15809
255,490,525,18500
1014,519,360,20060
813,285,337,17737
1301,459,327,19239
2038,515,534,17508
2181,426,455,18417
791,422,484,15448
1039,439,359,18532
487,475,459,17741
1088,285,472,19380
1211,459,195,18463
699,448,435,18834
279,223,382,15621
944,433,546,17393
3306,442,442,19608
635,477,520,19460
1271,545,457,19518
183,319,309,18557
840,312,228,17170
1017,285,493,16964
514,410,251,15768
359,433,285,20522
880,476,480,17143
1520,83,387,17422
286,461,435,16212
334,318,538,16017
752,428,266,19403
1216,341,305,16585
1289,383,489,20619
1008,447,359,16046
2432,366,364,20365
495,318,352,15328
556,152,250,18628
513,465,367,20582
371,456,318,19296
1323,492,426,15653
1020,347,264,16629
1159,479,318,18232
6841,439,415,19594
555,537,379,18175
1849,301,388,15012
1993,512,388,17493
644,517,335,20100
1132,487,433,15909
1780,379,352,16938
928,347,337,16598
2589,263,147,19170
511,224,309,16774
885,448,456,20150
508,477,325,19124
496,490,253,15544
1458,328,2005,17623
692,327,427,16098
271,327,363,15808
141,318,484,18235
2024,2008,281,16089
301,334,441,19313
487,497,513,19759
1295,422,306,16325
612,335,328,18556
1167,410,507,16464
1687,517,444,15714
783,528,546,17920
1716,2002,519,16396
512,492,352,17014
1906,270,359,17887
2014,521,463,17029
650,328,538,18980
434,127,348,19982
558,490,484,15222
1071,448,335,18450
452,2012,446,15565
503,342,293,18613
725,492,475,16648
325,503,545,14548
1859,490,536,18147
581,380,2008,17822
1199,422,358,17584
638,527,504,16118
440,528,519,16347
764,499,465,16810
503,423,524,16792
819,537,522,17333
492,367,318,18961
231,326,382,19745
1202,461,468,15134
507,517,507,16469
548,332,327,16442
557,490,500,15359
516,517,2008,16302
352,519,455,15258
1036,410,435,17440
525,448,173,17779
1157,448,2004,17332
984,265,392,15839
1743,391,402,15277
754,253,318,17827
169,127,347,18680
255,428,237,20142
914,401,351,17291
858,236,521,15329
738,475,347,19876
411,521,285,20553
220,475,2003,19338
407,327,2009,16369
1210,350,164,15615
1220,511,523,16958
758,267,352,17735
511,521,484,17160
317,435,386,17702
1577,428,484,15190
826,484,72,19753
81,464,305,19656
966,116,173,15959
196,423,469,16231
1243,430,363,19318
257,237,403,18997
851,271,2005,16498
829,228,508,16613
1079,405,195,17776
570,390,271,15925
1042,439,517,16620
1890,147,496,17885
993,294,174,16641
365,363,152,14559
656,503,351,16075
1719,157,216,18512
1464,366,402,18489
522,490,173,17464
735,402,472,16784
135,447,173,17243
669,492,383,16918
780,402,228,19328
843,521,456,14838
593,385,500,15013
508,501,367,15454
185,522,456,19664
987,310,309,19848
509,242,521,20339
861,521,359,20529
587,469,352,16108
1698,509,312,18569
586,521,173,18641
731,490,500,17076
597,501,440,19436
374,450,520,15816
856,518,403,17103
1049,318,456,14908
1978,318,377,19052
693,458,228,20602
514,446,545,19615
548,511,476,15837
653,362,536,15749
1941,318,377,16427
566,480,309,14738
934,439,490,18932
607,511,401,19835
1792,216,217,14692
746,127,388,16363
407,290,228,14571
1994,259,517,16768
1579,464,173,18220
537,244,300,19705
340,387,309,19512
491,450,484,17675
422,326,536,14906
1034,314,320,14992
323,271,233,17378
1004,319,390,15604
585,411,361,16463
1646,332,522,20020
175,469,173,20516
491,432,229,14913
667,521,463,19013
277,492,444,16271
830,492,151,18660
788,160,446,15988
511,352,496,19772
236,485,498,16734
1440,368,2008,18983
1189,487,337,19634
1498,438,128,16532
943,323,337,17536
929,253,173,15254
489,401,348,15290
371,496,469,17886
1252,2022,309,17232
1831,422,304,15880
1135,462,319,15250
706,290,545,18455
540,236,485,16323
316,466,540,18444
448,411,237,20300
449,411,237,17924
392,487,297,18035
383,212,512,15181
1701,173,304,16732
813,494,493,18612
394,405,345,16153
861,524,327,15475
1966,414,526,18391
417,348,335,17978
685,238,426,15860
405,237,536,15702
582,521,500,16021
316,363,346,17972
1219,448,475,18501
1558,319,367,17516
1072,487,455,20192
1322,459,534,18982
1602,545,401,15836
1696,490,485,19494
299,259,460,18741
2054,450,304,19549
257,416,300,16331
665,294,161,14539
458,537,519,17808
586,521,517,15213
713,498,352,15018
473,250,238,18628
1119,174,359,14773
362,482,212,18414
1254,515,435,16739
417,465,486,16466
570,521,173,19445
1238,253,305,18895
1240,316,497,15491
389,282,539,19130
496,496,168,16229
232,434,329,15413
704,521,520,19536
720,511,345,20157
1184,2000,229,18780
762,276,3002,19091
411,319,260,15393
1600,212,427,20571
331,540,466,19556
1278,400,516,14594
540,479,223,16343
375,270,253,20037
385,270,2004,15739
1204,518,434,15899
534,478,173,16650
68,334,334,18542
419,327,427,18351
1031,484,345,18235
2210,146,359,17992
543,422,367,16029
556,422,510,14825
721,341,501,18891
146,218,233,15427
396,496,83,19530
177,426,249,18145
856,521,352,19378
494,521,485,20237
275,238,347,16030
1564,290,517,17966
416,368,323,15472
487,416,323,19444
647,326,456,14898
257,456,510,15543
187,284,346,18001
2295,364,521,19992
867,435,352,19509
783,368,327,15378
1317,487,290,19521
479,519,527,14889
237,153,519,18296
1342,539,430,19076
982,363,347,18255
394,453,444,16730
1820,228,534,17977
207,303,2008,17822
710,527,290,17758
281,363,304,19849
315,517,546,17990
1724,460,3002,18267
402,127,345,18298
6856,393,501,16702
333,173,359,15211
1369,2003,2003,17067
984,459,320,18728
1371,473,467,17733
390,127,345,18948
624,306,360,15113
711,410,537,16669
150,306,224,16783
532,394,250,15644
647,492,456,16679
267,151,457,15051
320,353,275,16423
416,466,388,15245
